distance,starrating,ratings,hotel_id,offer,offer_cat,holiday,nights,price_per_night
4.3443000000000005,3,3,33,1,50%-75% offer,0,1,63
6.7578000000000005,3,3.7,78,1,15-50% offer,0,1,68
4.1834,3,4.1,61,1,50%-75% offer,0,1,69
3.0570999999999997,3,3.5,4,1,50%-75% offer,0,1,71
6.2751,3,4,75,1,50%-75% offer,0,1,72
9.654,3,3.7,429,1,15-50% offer,0,1,72
4.827,4,2.4,80,0,0% no offer,0,1,74
9.3322,3,3.5,46,1,15-50% offer,0,1,77
8.5277,3.5,4,44,0,0% no offer,0,1,80
8.5277,3,3.9,96,1,15-50% offer,0,1,80
8.3668,3,3.5,60,1,15-50% offer,0,1,80
2.5744000000000002,3.5,3.5,93,1,50%-75% offer,0,1,83
2.0917,3,3.5,228,1,50%-75% offer,0,1,83
3.218,4,3.9,69,0,0% no offer,0,1,84
1.4481,3,3.7,397,1,50%-75% offer,0,1,85
16.09,3,3.7,246,1,15-50% offer,0,1,85
14.6419,4,3.5,255,1,15-50% offer,0,1,85
2.8962,3,4,391,1,50%-75% offer,0,1,88
15.446399999999999,4,3.7,248,1,15-50% offer,0,1,89
4.1834,3.5,4.5,50,1,1-15% offer,0,1,90
9.3322,4,4,99,1,15-50% offer,0,1,90
1.7699,3,3.7,405,1,15-50% offer,0,1,91
2.8962,3,3.7,18,1,75%+ offer,0,1,91
3.7007,3,3.5,63,1,15-50% offer,0,1,91
3.0570999999999997,3.5,3.7,341,1,50%-75% offer,0,1,92
2.0917,3,3,330,1,50%-75% offer,0,1,92
2.5744000000000002,3,3.7,273,1,50%-75% offer,0,1,93
4.1834,4,4.5,27,0,0% no offer,0,1,94
3.3789000000000002,4,4.3,70,1,50%-75% offer,0,1,94
2.4135,3,4.3,272,1,50%-75% offer,0,1,94
2.2525999999999997,3,3.7,274,1,15-50% offer,0,1,96
3.5398,3,3.7,11,1,15-50% offer,0,1,97
4.9879,3,3.7,345,1,15-50% offer,0,1,97
2.0917,3,3.5,221,1,50%-75% offer,0,1,97
3.8615999999999997,3,4.5,84,1,15-50% offer,0,1,99
0.9653999999999999,3,2.9,106,1,50%-75% offer,0,1,99
9.4931,3,4.3,411,0,0% no offer,0,1,100
14.6419,4,4,249,1,15-50% offer,0,1,101
3.8615999999999997,3,3.9,65,1,15-50% offer,0,1,101
3.5398,3.5,4.5,20,0,0% no offer,0,1,102
14.3201,3.5,4,417,0,0% no offer,0,1,102
1.609,3,3.9,310,1,50%-75% offer,0,1,102
9.4931,4,3.7,47,1,15-50% offer,0,1,102
1.9307999999999998,4,3.5,270,1,50%-75% offer,0,1,102
4.1834,4,4.1,71,1,50%-75% offer,0,1,103
19.308,4,4.1,252,1,50%-75% offer,0,1,103
14.6419,4,4,256,1,15-50% offer,0,1,103
3.5398,3,4,85,1,15-50% offer,0,1,103
3.8615999999999997,3.5,3.9,21,1,15-50% offer,0,1,103
3.0570999999999997,3,4.5,419,1,50%-75% offer,0,1,104
3.0570999999999997,3.5,4.3,335,1,15-50% offer,0,1,104
1.2872000000000001,3,3.9,87,1,15-50% offer,0,1,104
1.4481,3,3.9,306,1,50%-75% offer,0,1,104
8.5277,3,3.5,43,0,0% no offer,0,1,104
9.1713,3,4,98,1,15-50% offer,0,1,105
1.2872000000000001,3,3.5,86,1,50%-75% offer,0,1,106
3.3789000000000002,4,4.3,83,1,50%-75% offer,0,1,107
15.446399999999999,3,4.3,250,1,15-50% offer,0,1,107
1.4481,3,3.7,309,1,50%-75% offer,0,1,107
1.2872000000000001,3,3.7,131,1,50%-75% offer,0,1,108
1.609,3,4,125,1,15-50% offer,0,1,109
1.4481,3,3.7,308,1,15-50% offer,0,1,109
1.609,3,3.7,58,1,50%-75% offer,0,1,110
0.32180000000000003,3,2.7,349,1,15-50% offer,0,1,110
2.7353,3,4.4,81,1,50%-75% offer,0,1,111
4.1834,3,4.1,95,1,50%-75% offer,0,1,111
2.4135,3.5,4.5,338,1,15-50% offer,0,1,112
2.4135,3,4,388,1,1-15% offer,0,1,113
0.32180000000000003,3,3.2,208,1,15-50% offer,0,1,113
4.9879,4,4.3,1,1,15-50% offer,0,1,114
2.8962,3,4.3,424,1,15-50% offer,0,1,114
4.3443000000000005,4,4.1,337,1,50%-75% offer,0,1,114
5.7924,4,4,66,1,15-50% offer,0,1,114
6.436,4,4,76,1,15-50% offer,0,1,114
1.7699,3,3.7,328,1,15-50% offer,0,1,114
3.218,3,3.7,427,1,50%-75% offer,0,1,114
14.481,3,4.1,415,1,15-50% offer,0,1,116
2.7353,4,4.4,82,1,50%-75% offer,0,1,117
2.4135,4,4.1,3,1,15-50% offer,0,1,117
15.285499999999999,3,4.3,247,1,15-50% offer,0,1,118
1.9307999999999998,3,4.3,292,1,15-50% offer,0,1,120
7.8841,3,4.1,42,1,15-50% offer,0,1,120
2.0917,3,4,320,1,15-50% offer,0,1,120
1.609,3,3.9,326,1,15-50% offer,0,1,121
5.1488000000000005,4,4,31,1,15-50% offer,0,1,122
1.609,3,3.7,318,0,0% no offer,0,1,124
0.32180000000000003,3,3.4,175,0,0% no offer,0,1,124
2.5744000000000002,4,3,222,1,50%-75% offer,0,1,124
2.2525999999999997,3,4.1,275,1,15-50% offer,0,1,125
1.609,3,3.5,399,1,1-15% offer,0,1,125
2.5744000000000002,3,4.3,333,1,15-50% offer,0,1,126
1.609,3,4,130,1,50%-75% offer,0,1,126
1.609,3,4,425,1,50%-75% offer,0,1,126
1.4481,3,3.7,329,1,15-50% offer,0,1,126
3.0570999999999997,3,3.5,32,1,15-50% offer,0,1,126
1.2872000000000001,3,2.9,296,1,50%-75% offer,0,1,126
1.609,3,4.4,387,1,50%-75% offer,0,1,127
3.0570999999999997,4,4.1,6,1,50%-75% offer,0,1,127
1.4481,3,4.1,102,1,50%-75% offer,0,1,127
1.4481,4,4,324,1,50%-75% offer,0,1,127
2.7353,4,3.7,422,1,1-15% offer,0,1,127
1.2872000000000001,3,3.7,73,1,15-50% offer,0,1,127
1.1262999999999999,3,4.1,260,1,15-50% offer,0,1,130
2.7353,4,3.7,14,1,15-50% offer,0,1,130
2.7353,4,4.5,15,1,15-50% offer,0,1,132
1.609,3,4.1,283,1,50%-75% offer,0,1,132
1.9307999999999998,4,4.5,51,1,15-50% offer,0,1,133
3.7007,4,4.5,62,1,15-50% offer,0,1,133
1.609,3.5,4,59,1,50%-75% offer,0,1,133
1.609,3,4,288,1,50%-75% offer,0,1,133
0.9653999999999999,3,3.7,205,1,50%-75% offer,0,1,133
0.6436000000000001,3,3.2,372,1,15-50% offer,0,1,133
0.9653999999999999,3,3.9,169,1,50%-75% offer,0,1,134
0.8045,3,3.7,203,1,15-50% offer,0,1,134
1.7699,3,3.7,230,1,1-15% offer,0,1,134
1.1262999999999999,3,3.5,300,1,50%-75% offer,0,1,134
1.7699,3,4.1,54,0,0% no offer,0,1,135
0.48269999999999996,3,3.7,377,1,15-50% offer,0,1,135
1.609,3.5,4.3,276,1,1-15% offer,0,1,137
7.723199999999999,4,4.3,41,1,15-50% offer,0,1,138
4.3443000000000005,4,4,28,1,15-50% offer,0,1,138
9.654,4,4,48,1,15-50% offer,0,1,138
1.609,3,4,172,1,15-50% offer,0,1,138
0.8045,3,3.9,101,1,15-50% offer,0,1,138
0.8045,3,3.7,212,1,15-50% offer,0,1,138
0.6436000000000001,3,3.5,375,1,50%-75% offer,0,1,138
1.609,3,3.4,325,1,15-50% offer,0,1,138
2.7353,4,4.3,389,1,15-50% offer,0,1,139
0.6436000000000001,3,3.5,202,0,0% no offer,0,1,139
11.5848,4,4.4,410,1,15-50% offer,0,1,142
0.9653999999999999,3,3.9,207,1,50%-75% offer,0,1,142
0.48269999999999996,3,3.7,366,1,15-50% offer,0,1,143
0.8045,4,3.5,149,1,15-50% offer,0,1,145
3.8615999999999997,4,4.6,336,1,15-50% offer,0,1,149
9.010399999999999,4,4.3,414,1,15-50% offer,0,1,149
2.7353,5,4.1,19,1,50%-75% offer,0,1,149
0.8045,3,3.9,204,1,15-50% offer,0,1,149
1.7699,3,4.5,285,1,15-50% offer,0,1,150
1.609,4,4.3,311,1,15-50% offer,0,1,150
1.1262999999999999,4,4.3,135,1,50%-75% offer,0,1,151
3.7007,4,4.5,22,1,15-50% offer,0,1,153
2.8962,3,4.5,394,1,15-50% offer,0,1,155
15.9291,4,4.5,254,0,0% no offer,0,1,156
4.3443000000000005,4,4,26,1,15-50% offer,0,1,156
0.32180000000000003,3,3.7,191,1,15-50% offer,0,1,156
15.124600000000001,4,4,251,1,15-50% offer,0,1,157
7.2405,3.5,4.5,37,1,15-50% offer,0,1,160
1.9307999999999998,4,4,282,1,15-50% offer,0,1,160
0.9653999999999999,3.5,4.6,261,0,0% no offer,0,1,161
5.4706,3,4.3,34,1,15-50% offer,0,1,161
0.6436000000000001,3,4.1,382,1,15-50% offer,0,1,161
0.16090000000000002,3.5,3.4,182,1,15-50% offer,0,1,162
2.7353,3,4,423,1,15-50% offer,0,1,164
5.309699999999999,3,4,30,1,1-15% offer,0,1,164
0.32180000000000003,3,3.9,351,1,15-50% offer,0,1,165
14.1592,4,4.4,416,1,15-50% offer,0,1,166
0.48269999999999996,3,4.1,378,1,15-50% offer,0,1,166
